"","hrs_sleep","caffeine_intake","pid","sex"
"1",8.56405017068341,"low_caffeine",22,"men"
"2",0.0724933730775632,"mid_caffeine",22,"men"
"3",5.0525253858152,"high_caffeine",22,"men"
"4",6.7537828335933,"low_caffeine",46,"men"
"5",5.19922123855862,"mid_caffeine",46,"men"
"6",5.4690934778297,"high_caffeine",46,"men"
"7",8.83326186705634,"low_caffeine",50,"men"
"8",3.92073729907966,"mid_caffeine",50,"men"
"9",4.71296952396482,"high_caffeine",50,"men"
"10",9.92183241197841,"low_caffeine",7,"men"
"11",2.35374158730934,"mid_caffeine",7,"men"
"12",5.21509553054292,"high_caffeine",7,"men"
"13",5.06676568674072,"low_caffeine",18,"men"
"14",7.15901268019151,"mid_caffeine",18,"men"
"15",5.35929399169462,"high_caffeine",18,"men"
"16",7.54221754141772,"low_caffeine",24,"men"
"17",4.87239771225282,"mid_caffeine",24,"men"
"18",5.74390780780175,"high_caffeine",24,"men"
"19",7.88831773049185,"low_caffeine",15,"men"
"20",3.78462632057327,"mid_caffeine",15,"men"
"21",6.51940720394346,"high_caffeine",15,"men"
"22",6.86435258802631,"low_caffeine",21,"men"
"23",5.52690650183039,"mid_caffeine",21,"men"
"24",6.11764659710013,"high_caffeine",21,"men"
"25",6.46920729686347,"low_caffeine",43,"men"
"26",7.71619520533432,"mid_caffeine",43,"men"
"27",4.42785584085451,"high_caffeine",43,"men"
"28",9.30674623567303,"low_caffeine",28,"men"
"29",3.33784686323639,"mid_caffeine",28,"men"
"30",6.07796084956371,"high_caffeine",28,"men"
"31",9.22136543189024,"low_caffeine",14,"men"
"32",3.94427385067873,"mid_caffeine",14,"men"
"33",5.94443803447546,"high_caffeine",14,"men"
"34",6.72372612597611,"low_caffeine",29,"men"
"35",7.54391043924745,"mid_caffeine",29,"men"
"36",5.03814336586987,"high_caffeine",29,"men"
"37",6.46987753078693,"low_caffeine",8,"men"
"38",8.75384124890821,"mid_caffeine",8,"men"
"39",4.33205806341186,"high_caffeine",8,"men"
"40",9.80154290118811,"low_caffeine",13,"men"
"41",6.00037784899174,"mid_caffeine",13,"men"
"42",4.38211729171084,"high_caffeine",13,"men"
"43",7.74992146430149,"low_caffeine",25,"men"
"44",4.93597415059793,"mid_caffeine",25,"men"
"45",7.84386200523221,"high_caffeine",25,"men"
"46",7.62629429621295,"low_caffeine",9,"men"
"47",7.37156273153384,"mid_caffeine",9,"men"
"48",5.61977347971224,"high_caffeine",9,"men"
"49",9.25857547032189,"low_caffeine",5,"men"
"50",6.3226870430222,"mid_caffeine",5,"men"
"51",5.04838143273498,"high_caffeine",5,"men"
"52",10.643162163275,"low_caffeine",35,"men"
"53",6.33854031454375,"mid_caffeine",35,"men"
"54",3.94675277845948,"high_caffeine",35,"men"
"55",7.87904870689558,"low_caffeine",1,"men"
"56",7.75995554198426,"mid_caffeine",1,"men"
"57",5.2895934363007,"high_caffeine",1,"men"
"58",5.62661337851517,"low_caffeine",26,"men"
"59",10.0767141090901,"mid_caffeine",26,"men"
"60",5.34805009830454,"high_caffeine",26,"men"
"61",8.53964502103344,"low_caffeine",2,"men"
"62",6.91435973395389,"mid_caffeine",2,"men"
"63",6.25688370915653,"high_caffeine",2,"men"
"64",9.71962765411473,"low_caffeine",12,"men"
"65",5.49302964067209,"mid_caffeine",12,"men"
"66",6.60796432222503,"high_caffeine",12,"men"
"67",8.38807467252017,"low_caffeine",39,"men"
"68",6.02220524340632,"mid_caffeine",39,"men"
"69",7.90910356921748,"high_caffeine",39,"men"
"70",6.94799110338552,"low_caffeine",23,"men"
"71",10.0172155733868,"mid_caffeine",23,"men"
"72",5.50944255629933,"high_caffeine",23,"men"
"73",8.10867605980008,"low_caffeine",10,"men"
"74",7.64782470623192,"mid_caffeine",10,"men"
"75",6.91899660906077,"high_caffeine",10,"men"
"76",10.79025132209,"low_caffeine",33,"women"
"77",5.88801990462277,"mid_caffeine",33,"women"
"78",6.04123292199294,"high_caffeine",33,"women"
"79",13.337911930677,"low_caffeine",44,"women"
"80",5.11628177188189,"mid_caffeine",44,"women"
"81",4.48533234621825,"high_caffeine",44,"women"
"82",8.5841654439608,"low_caffeine",42,"women"
"83",8.64519087852421,"mid_caffeine",42,"women"
"84",5.73780251059753,"high_caffeine",42,"women"
"85",8.40985703401546,"low_caffeine",32,"women"
"86",8.15584120337899,"mid_caffeine",32,"women"
"87",6.45150405307921,"high_caffeine",32,"women"
"88",10.6755740889891,"low_caffeine",27,"women"
"89",6.14568097884697,"mid_caffeine",27,"women"
"90",6.23538657228486,"high_caffeine",27,"women"
"91",8.23905799797523,"low_caffeine",40,"women"
"92",10.4464228553533,"mid_caffeine",40,"women"
"93",4.5561068390282,"high_caffeine",40,"women"
"94",8.87617657884656,"low_caffeine",38,"women"
"95",8.30554447250141,"mid_caffeine",38,"women"
"96",6.73994751087733,"high_caffeine",38,"women"
"97",11.5076298421399,"low_caffeine",30,"women"
"98",6.58332591268287,"mid_caffeine",30,"women"
